VillaLions,Λίβερπουλ,2-1, 2.85 , 2.25 , 3.1 ,1.43,2.33,08:48
Αγρίνιο,Ιωάννινα,1-1, 2.31 , 2.77 , 3.1 ,1.43,2.33,08:45
FeyenordReds,Plzen,1-1, 2.29 , 2.73 , 3.15 ,1.49,2.18,08:42
Ερυθρόλευκοι,Παρί,1-2, 2.61 , 2.35 , 3.2 ,1.55,2.06,08:39
Eindhoven,Ντόρτμουντ,1-3, 2.62 , 2.37 , 3.15 ,1.49,2.19,08:36
Λυών,Βιγιαρεάλ,2-1, 2.24 , 2.9 , 3.05 ,1.4,2.41,08:33
Anderlecht,Fener,0-3, 2.35 , 2.62 , 3.2 ,1.52,2.11,08:30
Χόφενχαϊμ,Frankfurt,1-0, 2.58 , 2.49 , 3.05 ,1.4,2.42,08:27
Φράιμπουργκ,MunichReds,1-0, 2.64 , 2.37 , 3.15 ,1.48,2.19,08:24
Λεβερκούζεν,Lipsia,2-0, 2.53 , 2.43 , 3.2 ,1.52,2.13,08:21
Laziali,Partisans,1-1, 2.28 , 2.69 , 3.2 ,1.55,2.06,08:18
Λειβαδιά,Περιστέρι,1-0, 2.37 , 2.65 , 3.1 ,1.46,2.25,08:15
Νάπολι,Μπαρτσελόνα,3-1, 2.5 , 2.59 , 2.99 ,1.37,2.51,08:12
Monchengladbach,Κοπεγχάγη,1-2, 2.26 , 2.88 , 3.05 ,1.39,2.43,08:09
WolvesCity,Τσέλσι,0-1, 2.39 , 2.62 , 3.1 ,1.45,2.27,08:06
Λεβερκούζεν,Μπαρτσελόνα,0-1, 2.68 , 2.42 , 2.99 ,1.37,2.5,22:54
Περιστέρι,NisCity,3-1, 2.21 , 2.81 , 3.2 ,1.52,2.11,22:51
Ναντ,Μονακό,1-2, 2.74 , 2.31 , 3.1 ,1.46,2.26,22:48
Ηράκλειο,Ένωση,4-0, 2.44 , 2.51 , 3.2 ,1.55,2.06,22:45
MunichReds,Monchengladbach,1-2, 1.95 , 3.45 , 3.15 ,1.41,2.37,22:42
Ντόρτμουντ,Berlin,0-2, 2.26 , 2.82 , 3.1 ,1.45,2.28,22:39
Frankfurt,Ερυθρόλευκοι,0-1, 2.29 , 2.68 , 3.2 ,1.55,2.06,22:36
Μάριμπορ,Βιγιαρεάλ,1-2, 2.52 , 2.45 , 3.2 ,1.52,2.11,22:33
Τρίπολη,Περιστέρι,1-3, 2.23 , 2.8 , 3.2 ,1.52,2.13,22:30
Παρί,NisCity,2-1, 1.95 , 3.45 , 3.15 ,1.41,2.37,22:24
ShakhtarUnited,Laziali,0-2, 2.16 , 2.93 , 3.15 ,1.49,2.19,22:18
Plzen,Rennais,2-0, 2.21 , 2.81 , 3.2 ,1.52,2.11,22:15
Lipsia,Frankfurt,3-1, 2.2 , 3 , 3 ,1.36,2.53,22:12
Μπρέντφορντ,Τσέλσι,3-1, 2.62 , 2.37 , 3.15 ,1.49,2.19,22:06
Monchengladbach,NisCity,1-1, 1.98 , 3.25 , 3.25 ,1.52,2.13,22:03
Μαρσέιγ,Μιλάνο,3-0, 2.39 , 2.68 , 3.05 ,1.4,2.41,22:00
MunichReds,Φράιμπουργκ,0-1, 2.06 , 3.15 , 3.15 ,1.47,2.21,21:54
ΠράσινοιΛευκωσίας,Βιγιαρεάλ,1-0, 2.52 , 2.45 , 3.2 ,1.52,2.11,21:51
RedDevils,Λέστερ,2-1, 2.31 , 2.71 , 3.15 ,1.48,2.2,21:48
Αντβέρπ,Βασιλεία,1-3, 2.65 , 2.4 , 3.05 ,1.43,2.33,21:45
Μαρσέιγ,Λυών,1-2, 2.17 , 2.92 , 3.15 ,1.48,2.2,21:39
SassuoloFC,Ρόμα,0-2, 2.57 , 2.5 , 3.05 ,1.4,2.41,21:36
Berlin,Χόφενχαϊμ,1-2, 1.99 , 3.3 , 3.15 ,1.45,2.27,21:33
Μπράιτον&ΧoβΆλμπιον,Λίβερπουλ,2-2, 3.05 , 2.1 , 3.2 ,1.49,2.18,21:27
Rennais,Μονακό,1-0, 2.5 , 2.59 , 2.99 ,1.37,2.51,21:24
FCBergamo,Κάλιαρι,2-0, 1.98 , 3.35 , 3.2 ,1.46,2.26,21:21
Περιστέρι,Ρόμα,1-3, 2.7 , 2.3 , 3.2 ,1.52,2.11,21:18
NisCity,Ναντ,1-2, 2.16 , 2.99 , 3.1 ,1.43,2.33,21:15
YoungBoysFC,Κοπεγχάγη,2-1, 2.49 , 2.6 , 2.99 ,1.37,2.5,21:12
Ντόρτμουντ,Monchengladbach,2-0, 2.06 , 3.2 , 3.1 ,1.42,2.36,21:09
Μάριμπορ,Ναντ,0-2, 2.27 , 2.7 , 3.25 ,1.56,2.05,21:06
Rosenborg,Βασιλεία,1-0, 2.65 , 2.4 , 3.05 ,1.43,2.33,21:03
FiorentinaCity,Μιλάνο,2-0, 2.55 , 2.46 , 3.1 ,1.46,2.26,21:00
ManchesterBlue,Μονακό,4-0, 1.89 , 3.6 , 3.2 ,1.44,2.29,20:57
BelgradeReds,Βιγιαρεάλ,2-0, 2.31 , 2.77 , 3.1 ,1.43,2.33,20:51
Λυών,Παρί,1-2, 2.62 , 2.34 , 3.2 ,1.55,2.07,20:48
Νάπολι,Σεβίλλη,0-1, 2.43 , 2.71 , 2.95 ,1.34,2.6,20:45
AmsterdamReds,Τσέλσι,1-1, 2.43 , 2.71 , 2.95 ,1.34,2.6,20:42
Ναντ,Βαλένθια,2-1, 2.76 , 2.33 , 3.05 ,1.4,2.41,20:39
SassuoloFC,InterBlues,1-1, 2.76 , 2.33 , 3.05 ,1.4,2.41,20:36
LondonSpurs,Lipsia,2-0, 2.41 , 2.67 , 3.05 ,1.39,2.43,20:33
Βαλένθια,Real,2-0, 3.15 , 2.03 , 3.25 ,1.52,2.11,20:24
Basaksehir,BetisGreens,1-1, 2.3 , 2.72 , 3.15 ,1.49,2.19,20:21
Udine,TorinoJuve,0-1, 2.85 , 2.25 , 3.1 ,1.43,2.33,20:15
GalataLions,KievWhites,1-2, 2.39 , 2.68 , 3.05 ,1.4,2.41,20:09
